Line;FromNode;ToNode;UB (kV);Length (Km);Inom (A);R (ohm);X (ohm);wC (microS);Lat_from;Long_from;Lat_to;Long_to;r_ohm_per_km;x_ohm_per_km;wc_µs_per_km;Capacity_GW;MTTF;MTTR
70;ROMSE;JUPIL;220;10;1000;0.6;4;0;50.61283863;5.67178282;50.64586404;5.637025767;0.06;0.06;0;0.381051178;15000;120
71;JUPIL;BERN;220;30;1000;1.8;12;0;50.64586404;5.637025767;50.74324301;5.731314208;0.06;0.06;0;0.381051178;15000;120
72;JUPIL;BERN;220;30;1000;1.8;12;0;50.64586404;5.637025767;50.74324301;5.731314208;0.06;0.06;0;0.381051178;15000;120
73;BERN;LIXHE220;220;10;1000;0.6;4;0;50.74324301;5.731314208;50.75777204;5.681475867;0.06;0.06;0;0.381051178;15000;120
74;AUBAN380;AUBAN220;380/230;-;-;0;82.13333333;0;-;-;-;-;-;-;-;0.3;2000;60
75;AUBAN380;AUBAN220;380/230;-;-;0;80.53333333;0;-;-;-;-;-;-;-;0.3;2000;60
76;LIXHE380;LIXHE220;380/230;-;-;0;77.86666667;0;-;-;-;-;-;-;-;0.3;2000;60
77;LIXHE380;LIXHE220;380/230;-;-;0;77.86666667;0;-;-;-;-;-;-;-;0.3;2000;60
78;RIMIE380;RIMIE220;380/230;-;-;0;77.86666667;0;-;-;-;-;-;-;-;0.3;2000;60
79;RIMIE380;RIMIE220;380/230;-;-;0;77.86666667;0;-;-;-;-;-;-;-;0.3;2000;60
80;RIMIE380;RIMIE220;380/230;-;-;0;77.86666667;0;-;-;-;-;-;-;-;0.3;2000;60
